municipio,crop,month,rank,is_top3,mean_yield,std_yield,high_yield_rate,n_samples,score,recommendation
Asuncion Mita,Aguacate,8,1,True,92.44,7.33,100.0,48,89.72,recomendado
Asuncion Mita,Aguacate,7,2,True,91.12,7.78,97.9,48,88.21,recomendado
Asuncion Mita,Aguacate,6,3,True,90.6,8.48,95.8,48,87.22,recomendado
Asuncion Mita,Aguacate,5,4,False,90.03,8.56,93.8,48,86.22,secundario
Asuncion Mita,Aguacate,10,5,False,89.12,9.62,85.4,48,83.07,secundario
Asuncion Mita,Aguacate,11,6,False,85.38,7.83,91.7,48,82.6,secundario
Asuncion Mita,Aguacate,9,7,False,87.5,10.85,87.5,48,82.58,secundario
Asuncion Mita,Aguacate,4,8,False,80.33,8.54,79.2,48,75.54,secundario
Asuncion Mita,Aguacate,1,9,False,79.48,6.86,78.4,51,74.85,secundario
Asuncion Mita,Aguacate,12,10,False,80.59,7.07,75.0,48,74.53,secundario
Asuncion Mita,Aguacate,2,11,False,77.17,6.32,66.7,51,69.84,secundario
Asuncion Mita,Aguacate,3,12,False,77.55,7.16,58.8,51,67.7,secundario
Asuncion Mita,Arroz,6,1,True,92.27,6.93,100.0,48,89.63,recomendado
Asuncion Mita,Arroz,9,2,True,91.57,8.29,95.8,48,87.86,recomendado
Asuncion Mita,Arroz,10,3,True,90.08,8.84,93.8,48,86.23,recomendado
Asuncion Mita,Arroz,8,4,False,88.86,9.71,89.6,48,84.15,secundario
Asuncion Mita,Arroz,7,5,False,85.65,9.46,85.4,48,80.83,secundario
Asuncion Mita,Arroz,5,6,False,86.39,10.54,81.2,48,80.0,secundario
Asuncion Mita,Arroz,11,7,False,80.68,9.68,62.5,48,70.71,secundario
Asuncion Mita,Arroz,12,8,False,73.5,6.4,43.8,48,60.58,secundario
Asuncion Mita,Arroz,1,9,False,72.22,6.35,33.3,51,56.63,secundario
Asuncion Mita,Arroz,2,10,False,69.54,6.05,23.5,51,51.96,secundario
Asuncion Mita,Arroz,4,11,False,68.95,7.11,12.5,48,48.21,secundario
Asuncion Mita,Arroz,3,12,False,67.84,7.12,13.7,51,47.86,secundario
Asuncion Mita,Avena,12,1,True,86.88,7.32,93.8,48,84.23,recomendado
Asuncion Mita,Avena,11,2,True,85.72,8.03,89.6,48,82.19,recomendado
Asuncion Mita,Avena,1,3,True,83.82,6.54,88.2,51,80.63,recomendado
Asuncion Mita,Avena,2,4,False,82.52,6.49,82.4,51,78.02,secundario
Asuncion Mita,Avena,4,5,False,81.37,6.72,83.3,48,77.56,secundario
Asuncion Mita,Avena,7,6,False,84.15,11.23,75.0,48,76.64,secundario
Asuncion Mita,Avena,3,7,False,79.53,6.37,72.5,51,73.14,secundario
Asuncion Mita,Avena,5,8,False,80.5,9.86,68.8,48,72.46,secundario
Asuncion Mita,Avena,8,9,False,80.61,10.8,64.6,48,71.23,secundario
Asuncion Mita,Avena,10,10,False,78.14,11.12,56.2,48,67.11,secundario
Asuncion Mita,Avena,6,11,False,74.33,10.48,50.0,48,62.79,secundario
Asuncion Mita,Avena,9,12,False,73.29,10.01,37.5,48,58.39,secundario
Asuncion Mita,Banano,6,1,True,92.41,7.8,97.9,48,89.05,recomendado
Asuncion Mita,Banano,9,2,True,92.15,8.13,95.8,48,88.24,recomendado
Asuncion Mita,Banano,8,3,True,89.2,9.84,95.8,48,86.24,recomendado
Asuncion Mita,Banano,10,4,False,88.95,9.35,87.5,48,83.6,secundario
Asuncion Mita,Banano,5,5,False,85.91,10.61,83.3,48,80.31,secundario
Asuncion Mita,Banano,7,6,False,85.42,9.63,83.3,48,80.04,secundario
Asuncion Mita,Banano,11,7,False,82.52,8.44,77.1,48,76.34,secundario
Asuncion Mita,Banano,12,8,False,75.39,7.03,58.3,48,66.15,secundario
Asuncion Mita,Banano,1,9,False,73.45,7.63,41.2,51,59.72,secundario
Asuncion Mita,Banano,2,10,False,71.92,6.1,33.3,51,56.45,secundario
Asuncion Mita,Banano,4,11,False,70.49,6.97,25.0,48,52.97,secundario
Asuncion Mita,Banano,3,12,False,70.18,6.31,23.5,51,52.36,secundario
Asuncion Mita,Berenjena,12,1,True,88.42,6.17,100.0,48,87.17,recomendado
Asuncion Mita,Berenjena,7,2,True,90.73,9.48,93.8,48,86.62,recomendado
Asuncion Mita,Berenjena,4,3,True,89.09,6.34,95.8,48,86.34,recomendado
Asuncion Mita,Berenjena,11,4,False,89.73,8.66,93.8,48,86.02,secundario
Asuncion Mita,Berenjena,1,5,False,86.47,6.13,98.0,51,85.31,secundario
Asuncion Mita,Berenjena,8,6,False,89.45,10.1,87.5,48,83.89,secundario
Asuncion Mita,Berenjena,2,7,False,85.55,7.75,90.2,51,82.28,secundario
Asuncion Mita,Berenjena,5,8,False,88.81,9.79,83.3,48,82.23,secundario
Asuncion Mita,Berenjena,3,9,False,84.18,7.88,88.2,51,80.8,secundario
Asuncion Mita,Berenjena,10,10,False,84.69,8.92,83.3,48,79.6,secundario
Asuncion Mita,Berenjena,9,11,False,80.89,8.3,77.1,48,75.29,secundario
Asuncion Mita,Berenjena,6,12,False,82.22,10.71,72.9,48,74.78,secundario
Asuncion Mita,Brocoli,12,1,True,83.18,7.02,83.3,48,78.72,recomendado
Asuncion Mita,Brocoli,11,2,True,81.02,8.74,75.0,48,74.73,recomendado
Asuncion Mita,Brocoli,1,3,True,79.24,6.98,74.5,51,73.51,recomendado
Asuncion Mita,Brocoli,7,4,False,80.79,11.31,70.8,48,73.2,secundario
Asuncion Mita,Brocoli,2,5,False,77.63,7.05,62.7,51,68.93,secundario
Asuncion Mita,Brocoli,3,6,False,74.89,7.02,58.8,51,65.97,secundario
Asuncion Mita,Brocoli,4,7,False,77.04,7.88,54.2,48,65.93,secundario
Asuncion Mita,Brocoli,10,8,False,75.53,9.98,54.2,48,64.85,secundario
Asuncion Mita,Brocoli,8,9,False,76.79,9.64,50.0,48,64.43,secundario
Asuncion Mita,Brocoli,5,10,False,74.89,9.98,50.0,48,63.18,secundario
Asuncion Mita,Brocoli,9,11,False,71.78,8.92,41.7,48,58.71,secundario
Asuncion Mita,Brocoli,6,12,False,71.43,8.8,29.2,48,54.74,secundario
Asuncion Mita,Cacao,6,1,True,87.83,8.04,89.6,48,83.56,recomendado
Asuncion Mita,Cacao,9,2,True,84.98,9.3,87.5,48,81.02,recomendado
Asuncion Mita,Cacao,10,3,True,84.35,10.08,85.4,48,79.95,recomendado
Asuncion Mita,Cacao,8,4,False,82.35,9.99,68.8,48,73.65,secundario
Asuncion Mita,Cacao,7,5,False,78.82,11.46,54.2,48,66.91,secundario
Asuncion Mita,Cacao,5,6,False,76.89,10.86,50.0,48,64.44,secundario
Asuncion Mita,Cacao,11,7,False,73.57,11.57,33.3,48,57.24,secundario
Asuncion Mita,Cacao,12,8,False,67.36,6.57,8.3,48,45.95,secundario
Asuncion Mita,Cacao,1,9,False,63.22,6.07,2.0,51,41.38,secundario
Asuncion Mita,Cacao,3,10,False,61.91,6.21,2.0,51,40.52,secundario
Asuncion Mita,Cacao,4,11,False,61.65,5.65,0.0,48,39.79,secundario
Asuncion Mita,Cacao,2,12,False,61.13,6.84,0.0,51,39.39,secundario
Asuncion Mita,Cafe,6,1,True,86.03,7.76,91.7,48,83.03,recomendado
Asuncion Mita,Cafe,8,2,True,85.35,8.65,87.5,48,81.3,recomendado
Asuncion Mita,Cafe,10,3,True,82.8,9.64,81.2,48,77.71,recomendado
Asuncion Mita,Cafe,9,4,False,83.15,10.6,79.2,48,77.27,secundario
Asuncion Mita,Cafe,7,5,False,82.43,10.18,68.8,48,73.69,secundario
Asuncion Mita,Cafe,5,6,False,79.51,10.58,66.7,48,71.15,secundario
Asuncion Mita,Cafe,11,7,False,76.76,10.17,47.9,48,63.76,secundario
Asuncion Mita,Cafe,12,8,False,69.09,6.85,18.8,48,50.19,secundario
Asuncion Mita,Cafe,1,9,False,69.02,6.49,17.6,51,49.84,secundario
Asuncion Mita,Cafe,2,10,False,67.71,6.09,11.8,51,47.24,secundario
Asuncion Mita,Cafe,3,11,False,66.04,6.62,9.8,51,45.54,secundario
Asuncion Mita,Cafe,4,12,False,66.02,5.9,6.2,48,44.49,secundario
Asuncion Mita,Camote,7,1,True,90.24,8.91,93.8,48,86.33,recomendado
Asuncion Mita,Camote,5,2,True,88.84,7.68,95.8,48,86.11,recomendado
Asuncion Mita,Camote,11,3,True,84.69,6.53,93.8,48,82.85,recomendado
Asuncion Mita,Camote,8,4,False,87.63,10.82,81.2,48,80.8,secundario
Asuncion Mita,Camote,4,5,False,84.25,8.14,85.4,48,79.98,secundario
Asuncion Mita,Camote,12,6,False,81.94,7.78,85.4,48,78.49,secundario
Asuncion Mita,Camote,6,7,False,84.73,9.8,77.1,48,77.71,secundario
Asuncion Mita,Camote,10,8,False,84.02,10.97,72.9,48,75.94,secundario
