municipio,zona,altitud_m,year,month,rainfall,eto_mm_day,rain_mm_day,water_stress_index,stress_level
Asuncion Mita,oriente_seco,500,2010,1,1.1,4.428,0.037,32.402,alto
Asuncion Mita,oriente_seco,500,2010,2,5.0,5.177,0.167,19.412,alto
Asuncion Mita,oriente_seco,500,2010,3,1.5,6.646,0.05,44.304,alto
Asuncion Mita,oriente_seco,500,2010,4,36.7,5.578,1.223,4.215,alto
Asuncion Mita,oriente_seco,500,2010,5,219.3,5.02,7.31,0.677,bajo
Asuncion Mita,oriente_seco,500,2010,6,164.3,4.014,5.477,0.72,bajo
Asuncion Mita,oriente_seco,500,2010,7,156.2,4.195,5.207,0.79,bajo
Asuncion Mita,oriente_seco,500,2010,8,226.2,3.761,7.54,0.492,bajo
Asuncion Mita,oriente_seco,500,2010,9,282.7,3.494,9.423,0.367,bajo
Asuncion Mita,oriente_seco,500,2010,10,16.6,3.735,0.553,5.717,alto
Asuncion Mita,oriente_seco,500,2010,11,13.6,3.656,0.453,6.608,alto
Asuncion Mita,oriente_seco,500,2010,12,0.9,3.813,0.03,29.329,alto
Asuncion Mita,oriente_seco,500,2011,1,1.3,4.462,0.043,31.129,alto
Asuncion Mita,oriente_seco,500,2011,2,2.6,5.137,0.087,27.521,alto
Asuncion Mita,oriente_seco,500,2011,3,4.4,6.24,0.147,25.296,alto
Asuncion Mita,oriente_seco,500,2011,4,50.4,5.692,1.68,3.198,alto
Asuncion Mita,oriente_seco,500,2011,5,78.8,5.283,2.627,1.938,alto
Asuncion Mita,oriente_seco,500,2011,6,138.7,4.371,4.623,0.925,bajo
Asuncion Mita,oriente_seco,500,2011,7,122.4,4.187,4.08,1.002,medio
Asuncion Mita,oriente_seco,500,2011,8,162.4,4.42,5.413,0.802,bajo
Asuncion Mita,oriente_seco,500,2011,9,160.9,3.911,5.363,0.716,bajo
Asuncion Mita,oriente_seco,500,2011,10,311.8,3.215,10.393,0.306,bajo
Asuncion Mita,oriente_seco,500,2011,11,8.4,3.597,0.28,9.465,alto
Asuncion Mita,oriente_seco,500,2011,12,0.8,3.346,0.027,26.418,alto
Asuncion Mita,oriente_seco,500,2012,1,2.6,3.78,0.087,20.251,alto
Asuncion Mita,oriente_seco,500,2012,2,1.5,4.611,0.05,30.738,alto
Asuncion Mita,oriente_seco,500,2012,3,2.5,5.939,0.083,32.394,alto
Asuncion Mita,oriente_seco,500,2012,4,28.0,5.747,0.933,5.562,alto
Asuncion Mita,oriente_seco,500,2012,5,138.5,4.561,4.617,0.967,bajo
Asuncion Mita,oriente_seco,500,2012,6,79.0,4.378,2.633,1.602,alto
Asuncion Mita,oriente_seco,500,2012,7,67.1,4.889,2.237,2.092,alto
Asuncion Mita,oriente_seco,500,2012,8,174.4,4.418,5.813,0.747,bajo
Asuncion Mita,oriente_seco,500,2012,9,44.6,4.262,1.487,2.686,alto
Asuncion Mita,oriente_seco,500,2012,10,70.7,3.903,2.357,1.589,alto
Asuncion Mita,oriente_seco,500,2012,11,2.6,3.686,0.087,19.749,alto
Asuncion Mita,oriente_seco,500,2012,12,1.2,4.199,0.04,29.989,alto
Asuncion Mita,oriente_seco,500,2013,1,2.8,4.416,0.093,22.839,alto
Asuncion Mita,oriente_seco,500,2013,2,1.3,5.403,0.043,37.695,alto
Asuncion Mita,oriente_seco,500,2013,3,1.3,6.403,0.043,44.67,alto
Asuncion Mita,oriente_seco,500,2013,4,7.6,5.895,0.253,16.683,alto
Asuncion Mita,oriente_seco,500,2013,5,64.9,5.185,2.163,2.291,alto
Asuncion Mita,oriente_seco,500,2013,6,70.1,4.415,2.337,1.812,alto
Asuncion Mita,oriente_seco,500,2013,7,69.7,4.29,2.323,1.77,alto
Asuncion Mita,oriente_seco,500,2013,8,153.1,4.443,5.103,0.854,bajo
Asuncion Mita,oriente_seco,500,2013,9,218.1,3.755,7.27,0.51,bajo
Asuncion Mita,oriente_seco,500,2013,10,120.3,3.996,4.01,0.972,bajo
Asuncion Mita,oriente_seco,500,2013,11,9.9,3.497,0.33,8.134,alto
Asuncion Mita,oriente_seco,500,2013,12,12.3,3.606,0.41,7.07,alto
Asuncion Mita,oriente_seco,500,2014,1,0.6,4.197,0.02,34.973,alto
Asuncion Mita,oriente_seco,500,2014,2,0.9,5.084,0.03,39.105,alto
Asuncion Mita,oriente_seco,500,2014,3,10.5,6.113,0.35,13.585,alto
Asuncion Mita,oriente_seco,500,2014,4,4.5,6.02,0.15,24.08,alto
Asuncion Mita,oriente_seco,500,2014,5,82.3,4.74,2.743,1.667,alto
Asuncion Mita,oriente_seco,500,2014,6,129.0,4.068,4.3,0.924,bajo
Asuncion Mita,oriente_seco,500,2014,7,16.0,5.044,0.533,7.964,alto
Asuncion Mita,oriente_seco,500,2014,8,53.3,4.837,1.777,2.578,alto
Asuncion Mita,oriente_seco,500,2014,9,218.0,3.872,7.267,0.526,bajo
Asuncion Mita,oriente_seco,500,2014,10,195.2,3.712,6.507,0.562,bajo
Asuncion Mita,oriente_seco,500,2014,11,12.5,3.433,0.417,6.644,alto
Asuncion Mita,oriente_seco,500,2014,12,0.4,3.459,0.013,30.518,alto
Asuncion Mita,oriente_seco,500,2015,1,0.8,3.751,0.027,29.61,alto
Asuncion Mita,oriente_seco,500,2015,2,0.8,4.85,0.027,38.287,alto
Asuncion Mita,oriente_seco,500,2015,3,6.6,5.525,0.22,17.266,alto
Asuncion Mita,oriente_seco,500,2015,4,23.1,5.882,0.77,6.761,alto
Asuncion Mita,oriente_seco,500,2015,5,30.1,5.592,1.003,5.069,alto
Asuncion Mita,oriente_seco,500,2015,6,119.1,4.495,3.97,1.105,medio
Asuncion Mita,oriente_seco,500,2015,7,45.1,4.863,1.503,3.033,alto
Asuncion Mita,oriente_seco,500,2015,8,64.7,5.336,2.157,2.364,alto
Asuncion Mita,oriente_seco,500,2015,9,252.8,3.9,8.427,0.457,bajo
Asuncion Mita,oriente_seco,500,2015,10,153.7,3.856,5.123,0.738,bajo
Asuncion Mita,oriente_seco,500,2015,11,65.9,3.49,2.197,1.52,alto
Asuncion Mita,oriente_seco,500,2015,12,3.3,3.762,0.11,17.914,alto
Asuncion Mita,oriente_seco,500,2016,1,0.6,4.109,0.02,34.244,alto
Asuncion Mita,oriente_seco,500,2016,2,0.5,4.927,0.017,42.232,alto
Asuncion Mita,oriente_seco,500,2016,3,17.5,5.57,0.583,8.152,alto
Asuncion Mita,oriente_seco,500,2016,4,11.6,5.95,0.387,12.225,alto
Asuncion Mita,oriente_seco,500,2016,5,27.0,5.666,0.9,5.666,alto
Asuncion Mita,oriente_seco,500,2016,6,98.6,4.927,3.287,1.455,medio
Asuncion Mita,oriente_seco,500,2016,7,68.6,4.917,2.287,2.06,alto
Asuncion Mita,oriente_seco,500,2016,8,70.2,4.657,2.34,1.909,alto
Asuncion Mita,oriente_seco,500,2016,9,120.2,4.184,4.007,1.019,medio
Asuncion Mita,oriente_seco,500,2016,10,7.0,4.094,0.233,12.283,alto
