date,year,month,station_file,station_name,station_id,station_code,lat,lon,altitud_m,municipio,distance_km,rainfall,temperature,temp_min,temp_max,humidity,wind_speed,solar_brightness,cloudiness,pressure,evap_tank,source,source_url
2025-06-14,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,0.0,29.3,20.4,36.4,71.0,11.0,,4.0,,5.5,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-15,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,29.7,28.1,23.8,34.6,76.0,14.7,,5.0,,6.3,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-16,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,34.0,26.7,22.0,34.0,83.0,9.3,,6.0,,4.0,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-17,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,1.2,26.2,21.4,32.4,85.0,3.7,,6.0,,4.7,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-18,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,0.0,26.9,21.6,30.6,80.0,7.3,,7.0,,3.5,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-19,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,7.1,28.7,22.2,35.0,73.0,15.3,,4.0,,3.5,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-20,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,58.6,27.5,21.8,32.8,77.0,7.0,,7.0,,6.0,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-21,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,20.4,26.5,20.4,30.0,84.0,9.3,,5.0,,4.9,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-22,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,18.0,27.9,20.0,34.8,74.0,7.3,,5.0,,3.0,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
2025-06-23,2025,6,ASUNCION MITA.csv,ASUNCION MITA,INS220501CV,INSDMCL2205001CONV,14.335447,-89.705892,478.0,Asuncion Mita,1.19,0.0,25.5,22.2,28.8,77.0,13.0,,5.0,,5.1,INSIVUMEH,https://insivumeh.gob.gt/img/INSIVUMEH.html
