municipio,zona,altitud_m,year,month,temperature,rainfall,humidity,soil_moisture,swvl2,swvl3,soil_temp,zona
Asuncion Mita,oriente_seco,500,2010,1,20.5,1.1,66.6,0.2492,0.2863,0.285,18.78,oriente_seco
Asuncion Mita,oriente_seco,500,2010,2,22.45,5.0,64.9,0.2423,0.279,0.2826,20.53,oriente_seco
Asuncion Mita,oriente_seco,500,2010,3,23.1,1.5,60.4,0.2437,0.2776,0.281,20.92,oriente_seco
Asuncion Mita,oriente_seco,500,2010,4,25.01,36.7,66.4,0.314,0.285,0.2801,22.9,oriente_seco
Asuncion Mita,oriente_seco,500,2010,5,24.35,219.3,74.5,0.3789,0.334,0.2854,23.16,oriente_seco
Asuncion Mita,oriente_seco,500,2010,6,23.2,164.3,82.7,0.4549,0.4526,0.3873,22.0,oriente_seco
Asuncion Mita,oriente_seco,500,2010,7,22.81,156.2,83.0,0.4663,0.4672,0.4364,21.52,oriente_seco
Asuncion Mita,oriente_seco,500,2010,8,22.79,226.2,84.1,0.4786,0.4769,0.4575,21.36,oriente_seco
Asuncion Mita,oriente_seco,500,2010,9,22.45,282.7,85.5,0.4764,0.4762,0.4712,21.28,oriente_seco
Asuncion Mita,oriente_seco,500,2010,10,21.28,16.6,75.3,0.3545,0.3948,0.4527,19.05,oriente_seco
Asuncion Mita,oriente_seco,500,2010,11,21.1,13.6,69.0,0.2851,0.3163,0.3875,18.83,oriente_seco
Asuncion Mita,oriente_seco,500,2010,12,19.1,0.9,65.2,0.2469,0.2905,0.3486,16.96,oriente_seco
Asuncion Mita,oriente_seco,500,2011,1,21.4,1.3,66.4,0.2416,0.2813,0.3223,19.1,oriente_seco
Asuncion Mita,oriente_seco,500,2011,2,22.16,2.6,64.4,0.2441,0.279,0.3058,19.88,oriente_seco
Asuncion Mita,oriente_seco,500,2011,3,22.27,4.4,59.3,0.2491,0.2782,0.2953,19.54,oriente_seco
Asuncion Mita,oriente_seco,500,2011,4,24.33,50.4,61.8,0.284,0.3,0.2883,21.85,oriente_seco
Asuncion Mita,oriente_seco,500,2011,5,24.18,78.8,71.5,0.3521,0.3391,0.2861,22.46,oriente_seco
Asuncion Mita,oriente_seco,500,2011,6,23.66,138.7,76.0,0.4047,0.3639,0.2875,21.97,oriente_seco
Asuncion Mita,oriente_seco,500,2011,7,22.98,122.4,80.0,0.439,0.4326,0.3338,21.58,oriente_seco
Asuncion Mita,oriente_seco,500,2011,8,23.33,162.4,78.4,0.4223,0.4003,0.3525,21.66,oriente_seco
Asuncion Mita,oriente_seco,500,2011,9,23.08,160.9,79.9,0.4359,0.4224,0.3437,21.42,oriente_seco
Asuncion Mita,oriente_seco,500,2011,10,20.92,311.8,83.3,0.4521,0.4618,0.4457,19.89,oriente_seco
Asuncion Mita,oriente_seco,500,2011,11,20.8,8.4,73.9,0.3048,0.3563,0.425,18.93,oriente_seco
Asuncion Mita,oriente_seco,500,2011,12,20.53,0.8,70.7,0.2478,0.3048,0.3742,18.71,oriente_seco
Asuncion Mita,oriente_seco,500,2012,1,21.22,2.6,67.3,0.2417,0.2865,0.341,19.5,oriente_seco
Asuncion Mita,oriente_seco,500,2012,2,22.31,1.5,65.8,0.2443,0.2807,0.3189,20.46,oriente_seco
Asuncion Mita,oriente_seco,500,2012,3,22.9,2.5,60.4,0.2405,0.2787,0.3023,20.86,oriente_seco
