municipio,zona,altitud_m,year,month,solar_radiation,solar_clear_sky,nasa_rainfall,nasa_humidity,nasa_temp,dew_point,nasa_temp_max,nasa_temp_min,wind_speed_10m,wind_speed_2m,zona
Asuncion Mita,oriente_seco,500,2010,1,18.09,21.74,1.01,76.62,18.82,13.81,32.36,8.52,4.83,3.2,oriente_seco
Asuncion Mita,oriente_seco,500,2010,2,19.68,23.51,0.67,69.61,21.49,14.62,33.19,10.91,3.79,2.56,oriente_seco
Asuncion Mita,oriente_seco,500,2010,3,23.0,25.73,0.07,60.84,23.1,13.6,35.8,10.99,3.97,2.77,oriente_seco
Asuncion Mita,oriente_seco,500,2010,4,20.64,25.97,1.82,66.88,24.5,16.79,35.62,14.77,2.64,1.85,oriente_seco
Asuncion Mita,oriente_seco,500,2010,5,19.5,27.09,5.7,73.47,24.01,18.05,34.99,15.99,2.63,1.83,oriente_seco
Asuncion Mita,oriente_seco,500,2010,6,18.49,26.82,10.57,86.13,22.07,19.45,28.85,17.35,2.45,1.61,oriente_seco
Asuncion Mita,oriente_seco,500,2010,7,19.89,27.0,5.07,87.28,21.52,19.15,27.65,16.37,2.17,1.4,oriente_seco
Asuncion Mita,oriente_seco,500,2010,8,17.88,26.67,9.31,88.7,21.33,19.26,27.05,15.7,1.88,1.2,oriente_seco
Asuncion Mita,oriente_seco,500,2010,9,17.09,25.81,8.27,90.26,20.97,19.22,26.25,16.65,2.65,1.7,oriente_seco
Asuncion Mita,oriente_seco,500,2010,10,18.68,24.17,0.44,86.9,19.5,17.09,26.16,12.18,3.42,2.19,oriente_seco
Asuncion Mita,oriente_seco,500,2010,11,18.28,22.15,0.41,85.2,18.55,15.82,26.59,9.06,3.54,2.29,oriente_seco
Asuncion Mita,oriente_seco,500,2010,12,18.01,21.18,0.29,80.26,16.67,12.83,27.79,8.77,4.63,3.02,oriente_seco
Asuncion Mita,oriente_seco,500,2010,13,19.1,24.83,3.64,79.4,21.04,16.64,35.8,8.52,3.22,2.13,oriente_seco
Asuncion Mita,oriente_seco,500,2011,1,18.47,21.46,0.24,74.35,20.07,14.52,30.31,11.52,3.7,2.42,oriente_seco
Asuncion Mita,oriente_seco,500,2011,2,20.13,23.91,0.48,69.63,21.09,14.18,31.59,12.76,3.59,2.43,oriente_seco
Asuncion Mita,oriente_seco,500,2011,3,22.38,26.19,0.24,62.09,21.66,12.47,34.0,12.23,3.87,2.65,oriente_seco
Asuncion Mita,oriente_seco,500,2011,4,20.49,24.37,1.49,61.9,24.21,14.92,35.53,14.2,2.47,1.73,oriente_seco
Asuncion Mita,oriente_seco,500,2011,5,21.38,26.35,3.0,73.35,23.69,17.82,33.02,15.64,2.7,1.87,oriente_seco
Asuncion Mita,oriente_seco,500,2011,6,19.01,26.76,6.53,80.1,22.37,18.34,30.84,17.13,2.07,1.38,oriente_seco
Asuncion Mita,oriente_seco,500,2011,7,19.86,26.7,7.65,87.18,21.36,18.98,27.25,17.01,2.09,1.34,oriente_seco
Asuncion Mita,oriente_seco,500,2011,8,20.7,26.82,5.51,86.22,21.73,19.14,27.4,17.12,1.8,1.13,oriente_seco
Asuncion Mita,oriente_seco,500,2011,9,18.48,25.57,6.75,87.42,21.17,18.84,27.28,17.1,1.98,1.25,oriente_seco
Asuncion Mita,oriente_seco,500,2011,10,16.12,23.97,9.72,89.78,19.67,17.84,26.15,12.95,3.0,1.93,oriente_seco
Asuncion Mita,oriente_seco,500,2011,11,18.32,22.21,0.69,86.59,18.78,16.31,26.14,9.83,3.94,2.54,oriente_seco
Asuncion Mita,oriente_seco,500,2011,12,17.03,20.89,0.8,86.48,18.1,15.61,25.94,10.98,4.56,2.96,oriente_seco
Asuncion Mita,oriente_seco,500,2011,13,19.36,24.6,3.61,78.83,21.15,16.59,35.53,9.83,2.98,1.97,oriente_seco
Asuncion Mita,oriente_seco,500,2012,1,17.39,21.57,0.49,81.39,18.91,15.22,27.74,11.34,4.27,2.8,oriente_seco
Asuncion Mita,oriente_seco,500,2012,2,19.02,23.78,0.67,76.5,20.51,15.47,31.4,14.59,3.86,2.59,oriente_seco
Asuncion Mita,oriente_seco,500,2012,3,23.22,26.45,0.63,68.47,21.57,14.25,32.72,12.45,4.19,2.87,oriente_seco
Asuncion Mita,oriente_seco,500,2012,4,22.45,26.56,1.27,65.73,23.05,15.04,33.15,13.67,2.64,1.82,oriente_seco
Asuncion Mita,oriente_seco,500,2012,5,19.11,26.07,5.34,76.58,23.18,18.18,33.09,16.59,1.74,1.18,oriente_seco
Asuncion Mita,oriente_seco,500,2012,6,19.39,26.99,3.3,81.16,22.39,18.6,29.43,16.71,2.26,1.48,oriente_seco
Asuncion Mita,oriente_seco,500,2012,7,22.57,27.19,3.78,82.58,21.81,18.38,28.86,17.09,3.11,2.04,oriente_seco
Asuncion Mita,oriente_seco,500,2012,8,20.33,26.61,9.31,84.57,21.88,18.91,28.7,17.32,1.82,1.16,oriente_seco
Asuncion Mita,oriente_seco,500,2012,9,20.1,25.96,3.58,85.54,21.31,18.58,27.14,15.68,2.14,1.36,oriente_seco
